,Title,Genre,Director,Actors,Plot
109,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
110,Casino,"Crime, Drama",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods","Greed, deception, money, power, and murder occur between two best friends: a mafia underboss and a casino owner, for a trophy wife over a gambling empire."
111,A Beautiful Mind,"Biography, Drama",Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
112,The Elephant Man,"Biography, Drama",David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity."
113,Warrior,"Action, Drama, Sport",Gavin O'Connor,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
114,V for Vendetta,"Action, Drama, Thriller",James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
115,The Wolf of Wall Street,"Biography, Comedy, Crime",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
116,Dial M for Murder,"Crime, Film-Noir, Thriller",Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams","An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B."
117,Hacksaw Ridge,"Biography, Drama, History",Mel Gibson,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
118,Gone with the Wind,"Drama, History, Romance","Victor Fleming, George Cukor, Sam Wood","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
119,The Message,"Adventure, Biography, Drama",Moustapha Akkad,"Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka","In the 7th century, Mohammed, Peace Be Upon Him, is visited by Angel Gabriel who urges him to lead the people of Mecca and worship God. But they're exiled in Medina before returning to ..."
120,Rebecca,"Drama, Mystery, Romance",Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",A self-conscious bride is tormented by the memory of her husband's dead first wife.
121,Trainspotting,Drama,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
122,The Deer Hunter,"Drama, War",Michael Cimino,"Robert De Niro, John Cazale, John Savage, Christopher Walken",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
123,Cool Hand Luke,"Crime, Drama",Stuart Rosenberg,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",A man refuses to conform to life in a rural prison.
124,Gran Torino,Drama,Clint Eastwood,"Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
125,The Big Lebowski,"Comedy, Crime","Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi","""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
126,The Thing,"Horror, Mystery, Sci-Fi",John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon",A research facility in Antarctica comes across an alien force that can become anything it touches with 100% accuracy. The members must now find out who's human and who's not before it's too late.
127,It Happened One Night,"Comedy, Romance",Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
128,Fargo,"Crime, Drama, Thriller","Joel Coen, Ethan Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
129,The Sixth Sense,"Drama, Mystery, Thriller",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.
130,Finding Nemo,"Animation, Adventure, Comedy","Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
131,Mary and Max,"Animation, Comedy, Drama",Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
132,No Country for Old Men,"Crime, Drama, Thriller","Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
133,How to Train Your Dragon,"Animation, Action, Adventure","Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
134,There Will Be Blood,"Drama, History",Paul Thomas Anderson,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
135,Into the Wild,"Adventure, Biography, Drama",Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
136,Kill Bill: Vol. 1,"Action, Crime, Thriller",Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah",The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.
137,Gone Girl,"Crime, Drama, Mystery",David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
138,Life of Brian,Comedy,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle","Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah."
139,Network,Drama,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
140,Shutter Island,"Mystery, Thriller",Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane."
141,In the Name of the Father,"Biography, Drama",Jim Sheridan,"Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
142,Rush,"Action, Biography, Drama",Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
143,Hotel Rwanda,"Biography, Drama, History",Terry George,"Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
144,Platoon,"Drama, War",Oliver Stone,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker",A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
145,Song of the Sea,"Animation, Adventure, Family",Tomm Moore,"David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan","Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
146,Ben-Hur,"Adventure, Drama, History",William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
147,Stand by Me,"Adventure, Drama",Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy."
148,Hachi: A Dog's Tale,"Drama, Family",Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",A college professor's bond with the abandoned dog he takes into his home.
149,Kind Hearts and Coronets,"Comedy, Crime",Robert Hamer,"Dennis Price, Valerie Hobson, Joan Greenwood, Alec Guinness",A distant poor relative of the Duke of D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
150,The Maltese Falcon,"Film-Noir, Mystery",John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
151,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin",Two Western bank/train robbers flee to Bolivia when the law gets too close.
152,The Legend of 1900,"Drama, Music, Romance",Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Bill Nunn, Clarence Williams III","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
153,Spotlight,"Crime, Drama, History",Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
154,Brief Encounter,"Drama, Romance",David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
155,The Best Years of Our Lives,"Drama, Romance, War",William Wyler,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
156,The Grapes of Wrath,"Drama, History",John Ford,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
157,12 Years a Slave,"Biography, Drama, History",Steve McQueen,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
158,The Grand Budapest Hotel,"Adventure, Comedy, Drama",Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
159,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
160,The Princess Bride,"Adventure, Family, Fantasy",Rob Reiner,"Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest","While home sick in bed, a young boy's grandfather reads him a story called The Princess Bride."
161,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",Robert Aldrich,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy",A former child star torments her paraplegic sister in their decaying Hollywood mansion.
162,Million Dollar Baby,"Drama, Sport",Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",A determined woman works with a hardened boxing trainer to become a professional.
163,Jurassic Park,"Adventure, Sci-Fi, Thriller",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok."
164,Touch of Evil,"Crime, Drama, Film-Noir",Orson Welles,"Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
165,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei","Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in New York City while fighting crime as his superhero alter ego Spider-Man when a new threat emerges."
166,Before Sunrise,"Drama, Romance",Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
167,The Truman Show,"Comedy, Drama, Sci-Fi",Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone",An insurance salesman/adjuster discovers his entire life is actually a television show.
168,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",David Yates,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
169,Star Wars: The Force Awakens,"Action, Adventure, Fantasy",J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and spare parts scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
170,"Paris, Texas",Drama,Wim Wenders,"Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
171,The Last Picture Show,Drama,Peter Bogdanovich,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically."
172,Gandhi,"Biography, Drama, History",Richard Attenborough,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud","Gandhi's character is fully explained as a man of nonviolence. Through his patience, he is able to drive the British out of the subcontinent. And the stubborn nature of Jinnah and his commitment towards Pakistan is portrayed."
173,Barry Lyndon,"Adventure, Drama, History",Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
174,Rocky,"Drama, Sport",John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers","Rocky Balboa, a small-time boxer, gets a supremely rare chance to fight heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect."
175,Annie Hall,"Comedy, Romance",Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
176,Prisoners,"Crime, Drama, Mystery",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
177,Donnie Darko,"Drama, Sci-Fi, Thriller",Richard Kelly,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
178,Catch Me If You Can,"Biography, Crime, Drama",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","The story of 'Frank Abagnale Jr., before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and legal prosecutor as a seasoned and dedicated FBI agent pursues him."
179,The Man Who Shot Liberty Valance,"Action, Drama, Western",John Ford,"John Wayne, James Stewart, Vera Miles, Lee Marvin","A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed."
180,Laura,"Drama, Film-Noir, Mystery",Otto Preminger,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",A police detective falls in love with the woman whose murder he is investigating.
181,"Monsters, Inc.","Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
182,The Bourne Ultimatum,"Action, Mystery, Thriller",Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
183,Cat on a Hot Tin Roof,"Drama, Romance",Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson","Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son."
184,The Wizard of Oz,"Adventure, Family, Fantasy","Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home in Kansas and help her friends as well.
185,Sleuth,"Mystery, Thriller",Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews","A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
186,Roman Holiday,"Comedy, Romance",William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
187,Out of the Past,"Crime, Drama, Film-Noir",Jacques Tourneur,"Robert Mitchum, Jane Greer, Kirk Douglas, Rhonda Fleming","A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames."
188,Anatomy of a Murder,"Crime, Drama, Mystery",Otto Preminger,"James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell","In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
189,Who's Afraid of Virginia Woolf?,Drama,Mike Nichols,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis","A bitter, aging couple, with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other."
190,The Terminator,"Action, Sci-Fi",James Cameron,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield","A seemingly indestructible humanoid cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs."
191,Groundhog Day,"Comedy, Fantasy, Romance",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",A weatherman finds himself inexplicably living the same day over and over again.
192,The Help,Drama,Tate Taylor,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
193,Strangers on a Train,"Crime, Film-Noir, Thriller",Alfred Hitchcock,"Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll",A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder - a theory that he plans to implement.
194,The Night of the Hunter,"Crime, Drama, Film-Noir",Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery."
195,All Quiet on the Western Front,"Drama, War",Lewis Milestone,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
196,Beauty and the Beast,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","A young woman whose father has been imprisoned by a terrifying beast offers herself in his place, unaware that her captor is actually a prince, physically altered by a magic spell."
197,Lion,"Biography, Drama",Garth Davis,"Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
198,Twelve Monkeys,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
199,Guardians of the Galaxy,"Action, Adventure, Sci-Fi",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
200,Dog Day Afternoon,"Biography, Crime, Drama",Sidney Lumet,"Penelope Allen, Sully Boyar, John Cazale, Beulah Garrick",A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.
201,Jaws,"Adventure, Drama, Thriller",Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","A giant great white shark arrives on the shores of a New England beach resort and wreaks havoc with bloody attacks on swimmers, until a local sheriff teams up with a marine biologist and an old seafarer to hunt the monster down."
202,Zootopia,"Animation, Adventure, Comedy","Jared Bush, Byron Howard, Rich Moore","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
203,Guardians of the Galaxy Vol. 2,"Action, Adventure, Sci-Fi",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.
204,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
205,Before Sunset,"Drama, Romance",Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
206,The Imitation Game,"Biography, Drama, Thriller",Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear","During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians."
207,Young Frankenstein,Comedy,Mel Brooks,"Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn","An American grandson of the infamous scientist, struggling to prove that he is not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
208,Stalag 17,"Drama, War",Billy Wilder,"William Holden, Don Taylor, Otto Preminger, Robert Strauss","When two escaping American World War II prisoners are killed, the German POW camp barracks black marketeer, J.J. Sefton, is suspected of being an informer."
209,Dogville,"Crime, Drama",Lars von Trier,"Nicole Kidman, Harriet Andersson, Lauren Bacall, Jean-Marc Barr","A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits town, she finds out that their support has a price. Yet her dangerous secret is never far away..."
210,Dead Poets Society,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
211,High Noon,"Drama, Thriller, Western",Fred Zinnemann,"Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado","Marshal Will Kane, personally compelled to face his returning deadly enemy Frank Miller, finds that his fellow townspeople refuse to help him."
212,Papillon,"Biography, Crime, Drama",Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon","A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape."
213,A Streetcar Named Desire,Drama,Elia Kazan,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
214,Arsenic and Old Lace,"Comedy, Crime, Thriller",Frank Capra,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson","A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family."
215,Sin City,"Crime, Thriller","Frank Miller, Robert Rodriguez, Quentin Tarantino","Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe","A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption."
216,The Hustler,"Drama, Sport",Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott",An up-and-coming pool player plays a long-time champion in a single high-stakes match.
217,A Night at the Opera,"Comedy, Music, Musical","Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
218,The Killing,"Crime, Drama, Film-Noir",Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",Crooks plan and execute a daring race-track robbery.
219,The Avengers,"Action, Sci-Fi",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.
220,Notorious,"Drama, Film-Noir, Romance",Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
221,Harvey,"Comedy, Drama, Fantasy",Henry Koster,"Wallace Ford, William H. Lynn, Victoria Horne, Jesse White","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
222,The Martian,"Adventure, Drama, Sci-Fi",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
223,The Exorcist,Horror,William Friedkin,"Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
224,Rio Bravo,"Action, Drama, Western",Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson","A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
225,The Philadelphia Story,"Comedy, Romance",George Cukor,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
226,Rope,"Crime, Drama, Thriller",Alfred Hitchcock,"John Dall, Farley Granger, Edith Evanson, Douglas Dick","Two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime."
227,The Big Sleep,"Crime, Film-Noir, Mystery",Howard Hawks,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
