bag_of_words
crime  drama frankdarabont timrobbins morganfreeman bobgunton eventual redemption common decency finding solace two imprisoned men bond years acts number  
crime  drama francisfordcoppola marlonbrando alpacino jamescaan organized crime dynasty transfers control clandestine empire reluctant son aging patriarch  
crime  drama francisfordcoppola alpacino robertduvall dianekeaton tightens 1920s new york michael vito corleone son expands family crime syndicate career grip early life portrayed  
action  crime  drama christophernolan christianbale heathledger aaroneckhart joker emerges greatest psychological menace known gotham dark knight must accept one physical tests fight injustice wreaks havoc people ability chaos mysterious past  
crime  drama sidneylumet martinbalsam johnfiedler leej.cobb evidence jury holdout attempts reconsider miscarriage colleagues justice forcing prevent  
biography  drama  history stevenspielberg liamneeson benkingsley ralphfiennes witnessing occupied poland oskar schindler gradually becomes concerned world war ii nazi germans persecution jewish workforce german  
adventure  drama  fantasy peterjackson noelappleby aliastin seanastin men one ring gandalf frodo army approach mount doom aragorn lead sam gaze draw sauron world  
crime  drama quentintarantino timroth amandaplummer lauralovelace boxer pair lives redemption four tales gangster violence diner bandits intertwine two mob hit men wife  
drama davidfincher edwardnorton bradpitt meatloaf life may much change insomniac office worker crosses paths way devil care soap maker something looking underground fight club forming evolves  
adventure  drama  fantasy peterjackson alanhoward noelappleby seanastin meek hobbit shire powerful one ring save middle earth journey destroy eight companions set dark lord sauron  
comedy  drama  romance robertzemeckis tomhanks rebeccawilliams sallyfield true love forrest gump accidentally many historic moments present jenny curran intelligent eludes  
action  adventure  fantasy irvinkershner markhamill harrisonford carriefisher questionable ally overpowered luke skywalker begins jedi training darth vader hunts plan rebels capture newly established base friends accept shelter empire master yoda  
action  adventure  sci-fi christophernolan leonardodicaprio josephgordon-levitt ellenpage planting idea dream mind steals corporate secrets given sharing technology thief use ceo inverse task  
adventure  drama  fantasy peterjackson bruceallpress seanastin johnbach new ally saruman sam edge closer mordor frodo stand shifty gollum isengard divided fellowship makes help sauron hordes  
drama milosforman michaelberryman peterbrocco deanr.brooks rallies oppressive nurse scared patients trouble mental institution rebels criminal pleads insanity getting  
crime  drama martinscorsese robertdeniro rayliotta joepesci life relationship italian covering wife karen hill henry american crime syndicate teen years story mob partners jimmy conway mafia tommy devitto  
"action  sci-fi lanawachowski,lillywachowski keanureeves laurencefishburne carrie-annemoss true nature mysterious rebels reality war computer hacker learns controllers role  "
action  adventure  fantasy georgelucas markhamill harrisonford carriefisher cocky pilot destroying battle station luke skywalker joins forces save two droids also attempting rescue princess leia galaxy wookiee jedi knight world evil darth vader empire  
crime  drama  mystery davidfincher morganfreeman andrewkevinwalker kevinspacey hunt seven deadly sins motives uses rookie two detectives veteran serial killer  
drama  family  fantasy frankcapra jamesstewart donnareed lionelbarrymore heaven never existed life would sent showing like help desperately frustrated businessman angel  
